image_name,image_url,label,_split,,,,,,
cup_0000,http://farm4.static.flickr.com/3339/3175404349_d8a2750249.jpg,1,train,,,,,,
cup_0001,http://farm3.static.flickr.com/2258/2299861443_63ef2d1841.jpg,1,train,,,,,,
cup_0002,http://farm2.static.flickr.com/1404/1397726157_77c1faa062.jpg,1,train,,,,,,
cup_0003,http://farm4.static.flickr.com/3298/3241786031_c998e15b3e.jpg,1,train,,,,,,
cup_0004,http://www.zetimall.com/uploadimage/product/0851818372024246.jpg,1,train,,,,,,
cup_0005,http://farm4.static.flickr.com/3178/3111217452_188544c2db.jpg,1,train,,,,,,
cup_0006,http://i00.c.aliimg.com/img/offer/26/79/53/39/0/267953390,1,train,,,,,,
cup_0007,http://farm3.static.flickr.com/2103/2244817187_17acc4e90c.jpg,1,train,,,,,,
cup_0008,http://farm4.static.flickr.com/3278/2739772950_71927735ee.jpg,1,train,,,,,,
cup_0009,http://i00.c.aliimg.com/img/offer/24/81/37/56/6/248137566,1,train,,,,,,
cup_0010,http://farm4.static.flickr.com/3262/3103588951_7c5031a8bf.jpg,1,train,,,,,,
cup_0011,http://farm1.static.flickr.com/187/432152445_3a9d625791.jpg,1,train,,,,,,
cup_0012,http://www.joannesdedoper.nl/jms/images/stories/van_stof/koffiekopje.jpg,1,train,,,,,,
cup_0013,http://img.diytrade.com/cdimg/748249/6268531/0/1214880751.jpg,1,train,,,,,,
cup_0014,http://farm3.static.flickr.com/2412/2071268284_8766e7fd7d.jpg,1,train,,,,,,
cup_0015,http://i04.c.aliimg.com/img/offer/35/01/91/45/7/350191457,1,train,,,,,,
cup_0016,http://i00.c.aliimg.com/img/offer/15/88/83/93/2/158883932,1,train,,,,,,
cup_0017,http://farm1.static.flickr.com/128/381344070_2c17a7659b.jpg,1,train,,,,,,
cup_0018,http://i00.c.aliimg.com/img/offer/35/06/18/62/4/350618624,1,train,,,,,,
cup_0019,http://farm1.static.flickr.com/56/130053182_67856af584.jpg,1,train,,,,,,
cup_0020,http://i02.c.aliimg.com/img/offer/17/01/68/27/6/170168276,1,train,,,,,,
cup_0021,http://farm4.static.flickr.com/3258/3119097065_dcd120c4e0.jpg,1,train,,,,,,
cup_0022,http://farm1.static.flickr.com/59/172844693_8a66de1bc6.jpg,1,train,,,,,,
cup_0023,http://farm1.static.flickr.com/209/499675545_436f3ea8bd.jpg,1,train,,,,,,
cup_0024,http://farm1.static.flickr.com/142/322321097_f39cb153de.jpg,1,train,,,,,,
cup_0025,http://i02.c.aliimg.com/img/offer/21/93/32/60/8/219332608,1,train,,,,,,
cup_0026,http://farm4.static.flickr.com/3248/2414081429_a4d0831e84.jpg,1,train,,,,,,
cup_0027,http://farm1.static.flickr.com/173/445756814_58d6e1a582.jpg,1,train,,,,,,
cup_0028,http://farm2.static.flickr.com/1368/548198314_8830ef17d2.jpg,1,train,,,,,,
cup_0029,http://farm3.static.flickr.com/2417/2187414992_66e8dbb61c.jpg,1,train,,,,,,
cup_0030,http://farm1.static.flickr.com/21/98903102_9b185dcc1d.jpg,1,train,,,,,,
cup_0031,http://farm3.static.flickr.com/2269/2408884414_36b2ddd90f.jpg,1,train,,,,,,
cup_0032,http://farm1.static.flickr.com/23/90738363_10a4b44eb0.jpg,1,train,,,,,,
cup_0033,http://farm3.static.flickr.com/2220/2685006670_05d76f5724.jpg,1,train,,,,,,
cup_0034,http://farm3.static.flickr.com/2099/2233817436_3f20abe7df.jpg,1,train,,,,,,
cup_0035,http://farm3.static.flickr.com/2250/2176991711_5b543414d9.jpg,1,train,,,,,,
cup_0036,http://farm1.static.flickr.com/87/210407804_363aaeeca4.jpg,1,train,,,,,,
cup_0037,http://farm2.static.flickr.com/1063/698525156_10938751ca.jpg,1,train,,,,,,
cup_0038,http://farm1.static.flickr.com/91/245572912_15a597712d.jpg,1,train,,,,,,
cup_0039,http://farm4.static.flickr.com/3204/2989874514_1fc2829d2f.jpg,1,train,,,,,,
cup_0040,http://i02.c.aliimg.com/img/offer/26/61/26/87/9/266126879,1,train,,,,,,
cup_0041,http://farm4.static.flickr.com/3394/3437374815_5f914219c1.jpg,1,train,,,,,,
cup_0042,http://farm4.static.flickr.com/3214/2325663412_3150abe8e1.jpg,1,train,,,,,,
cup_0043,http://i00.c.aliimg.com/img/offer/20/14/41/39/4/201441394,1,train,,,,,,
cup_0044,http://farm1.static.flickr.com/52/145394990_7c28a1af17.jpg,1,train,,,,,,
cup_0045,http://cn.made-in-china.com/image/4f0j01gCZaPDzBsEbIM/???,???,???.jpg,1,train,,,,
cup_0046,http://farm4.static.flickr.com/3226/2898313842_d7d6da2558.jpg,1,train,,,,,,
cup_0047,http://farm1.static.flickr.com/126/368146363_1091f9ba74.jpg,1,train,,,,,,
cup_0048,http://farm3.static.flickr.com/2062/2523501684_dd6574c30b.jpg,1,train,,,,,,
cup_0049,http://i00.c.aliimg.com/img/offer/14/89/44/24/7/148944247,1,train,,,,,,
cup_0050,http://farm4.static.flickr.com/3269/3061992957_651df78bea.jpg,1,train,,,,,,
cup_0051,http://cn.made-in-china.com/image/2f0j01aeATjwIrgfcQM/?????????2?2?+(01D821-0404).jpg,1,train,,,,,,
cup_0052,http://lmzco.com/webpics/coffee_cup_steam.jpg,1,train,,,,,,
cup_0053,http://farm4.static.flickr.com/3626/3304144867_b3e7465f23.jpg,1,train,,,,,,
cup_0054,http://farm4.static.flickr.com/3336/3450586246_60341f9ce8.jpg,1,train,,,,,,
cup_0055,http://farm4.static.flickr.com/3270/2687262870_8c8f6f1c13.jpg,1,train,,,,,,
cup_0056,http://farm1.static.flickr.com/151/407199585_cee783e50a.jpg,1,train,,,,,,
cup_0057,http://i02.c.aliimg.com/img/offer/15/40/03/33/5/154003335,1,train,,,,,,
cup_0058,http://farm4.static.flickr.com/3407/3241206250_1462690622.jpg,1,train,,,,,,
cup_0059,http://pic.nipic.com/2008-06-05/200865205735980_2.jpg,1,train,,,,,,
cup_0060,http://farm1.static.flickr.com/39/122085040_89481ccc97.jpg,1,train,,,,,,
cup_0061,http://farm4.static.flickr.com/3338/3413721000_3fc0292090.jpg,1,train,,,,,,
cup_0062,http://i00.c.aliimg.com/img/offer/27/40/66/56/8/274066568,1,train,,,,,,
cup_0063,http://farm4.static.flickr.com/3053/2870055957_84fd04225c.jpg,1,train,,,,,,
cup_0064,http://farm4.static.flickr.com/3198/2944896097_c96ed19536.jpg,1,train,,,,,,
cup_0065,http://farm3.static.flickr.com/2395/2365844715_ffba71a9a5.jpg,1,train,,,,,,
cup_0066,http://i04.c.aliimg.com/img/offer/11/47/91/14/6/114791146,1,train,,,,,,
cup_0067,http://farm4.static.flickr.com/3285/3136404882_2a3cd6f8f7.jpg,1,train,,,,,,
cup_0068,http://www.haotaoci.com/uploads/products/2009/03/11/b83e09f4-ec1e-403a-a098-273e98b5cea7-upload.jpg,1,train,,,,,,
cup_0069,http://farm1.static.flickr.com/32/49028051_0929222af6.jpg,1,train,,,,,,
